| Date                      |      Open |     Close |           Volume |     EMA_5 |    KNN_MA |   KnnEmaX |   WeeklyEMA |   WeeklyKNN |   WeeklyKnnEmaX |   TrendConfirmation | TradeOpen   |
|---------------------------+-----------+-----------+------------------+-----------+-----------+-----------+-------------+-------------+-----------------+---------------------+-------------|
| 2010-12-07 00:00:00-05:00 |   5.22819 |   5.08264 |      1.79964e+07 |   0       |   0       |         0 |     0       |     0       |               0 |                   0 | False       |
| 2010-12-08 00:00:00-05:00 |   5.102   |   5.12445 |      1.47984e+07 |   0       |   0       |         0 |     0       |     0       |               0 |                   0 | False       |
| 2010-12-09 00:00:00-05:00 |   5.20806 |   5.18019 |      9.6276e+06  |   0       |   0       |         0 |     0       |     0       |               0 |                   0 | False       |
| 2010-12-10 00:00:00-05:00 |   5.22587 |   5.27232 |      9.6516e+06  |   0       |   0       |         0 |     0       |     0       |               0 |                   0 | False       |
| 2010-12-13 00:00:00-05:00 |   5.35052 |   5.27852 |      9.3804e+06  |   0       |   0       |         0 |     0       |     0       |               0 |                   0 | False       |
| 2010-12-14 00:00:00-05:00 |   5.29632 |   5.29168 |      1.09824e+07 |   0       |   5.18763 |         0 |     0       |     0       |               0 |                   0 | False       |
| 2010-12-15 00:00:00-05:00 |   5.26458 |   5.21968 |      1.40844e+07 |   0       |   5.22943 |         0 |     0       |     0       |               0 |                   0 | False       |
| 2010-12-16 00:00:00-05:00 |   5.22742 |   5.30871 |      1.46136e+07 |   0       |   5.24848 |         0 |     0       |     0       |               0 |                   0 | False       |
| 2010-12-17 00:00:00-05:00 |   5.30871 |   5.34355 |      8.4816e+06  |   5.23353 |   5.27418 |         0 |     0       |     0       |               0 |                   1 | False       |
| 2010-12-20 00:00:00-05:00 |   5.37994 |   5.37142 |      9.2196e+06  |   5.26111 |   5.28843 |         0 |     0       |     0       |               0 |                   1 | False       |
| 2010-12-21 00:00:00-05:00 |   5.41942 |   5.47904 |      1.0626e+07  |   5.30469 |   5.30701 |         0 |     0       |     0       |               0 |                   1 | False       |
| 2010-12-22 00:00:00-05:00 |   5.49452 |   5.52781 |      8.1984e+06  |   5.34932 |   5.34448 |         1 |     0       |     0       |               0 |                   1 | False       |
| 2010-12-23 00:00:00-05:00 |   5.51078 |   5.50458 |      8.3196e+06  |   5.38037 |   5.40611 |         0 |     0       |     0       |               0 |                   1 | False       |
| 2010-12-27 00:00:00-05:00 |   5.44729 |   5.50923 |      5.6304e+06  |   5.40614 |   5.44528 |         0 |     0       |     0       |               0 |                   1 | False       |
| 2010-12-28 00:00:00-05:00 |   5.54794 |   5.52317 |      5.232e+06   |   5.42955 |   5.47842 |         0 |     0       |     0       |               0 |                   1 | False       |
